kode_dagri_kec,nama_dagri_kec,kode_bps_deskel,nama_bps_kec,kode_dagri_deskel,nama_bps_kabkot,nama_dagri_kabkot,kode_bps_kec,nama_dagri_deskel,kode_bps_kabkot,nama_bps_deskel,kode_dagri_kabkot
33.01.16,DAYEUHLUHUR,3301010001,DAYEUHLUHUR,33.01.16.2013,CILACAP,KAB. CILACAP,3301010,PANULISAN BARAT,3301,PANULISAN BARAT,33.01
33.01.16,DAYEUHLUHUR,3301010002,DAYEUHLUHUR,33.01.16.2001,CILACAP,KAB. CILACAP,3301010,PANULISAN,3301,PANULISAN,33.01
33.01.16,DAYEUHLUHUR,3301010003,DAYEUHLUHUR,33.01.16.2014,CILACAP,KAB. CILACAP,3301010,PANULISAN TIMUR,3301,PANULISAN TIMUR,33.01
33.01.16,DAYEUHLUHUR,3301010004,DAYEUHLUHUR,33.01.16.2002,CILACAP,KAB. CILACAP,3301010,MATENGGENG,3301,MATENGGENG,33.01
33.01.16,DAYEUHLUHUR,3301010005,DAYEUHLUHUR,33.01.16.2003,CILACAP,KAB. CILACAP,3301010,CIWALEN,3301,CIWALEN,33.01
33.01.16,DAYEUHLUHUR,3301010006,DAYEUHLUHUR,33.01.16.2004,CILACAP,KAB. CILACAP,3301010,DAYEUHLUHUR,3301,DAYEUHLUHUR,33.01
33.01.16,DAYEUHLUHUR,3301010007,DAYEUHLUHUR,33.01.16.2005,CILACAP,KAB. CILACAP,3301010,HANUM,3301,HANUM,33.01
33.01.16,DAYEUHLUHUR,3301010008,DAYEUHLUHUR,33.01.16.2006,CILACAP,KAB. CILACAP,3301010,DATAR,3301,DATAR,33.01
33.01.16,DAYEUHLUHUR,3301010009,DAYEUHLUHUR,33.01.16.2007,CILACAP,KAB. CILACAP,3301010,BINGKENG,3301,BINGKENG,33.01
33.01.16,DAYEUHLUHUR,3301010010,DAYEUHLUHUR,33.01.16.2008,CILACAP,KAB. CILACAP,3301010,BOLANG,3301,BOLANG,33.01
33.01.16,DAYEUHLUHUR,3301010011,DAYEUHLUHUR,33.01.16.2009,CILACAP,KAB. CILACAP,3301010,KUTAAGUNG,3301,KUTAAGUNG,33.01
33.01.16,DAYEUHLUHUR,3301010012,DAYEUHLUHUR,33.01.16.2010,CILACAP,KAB. CILACAP,3301010,CIJERUK,3301,CIJERUK,33.01
33.01.16,DAYEUHLUHUR,3301010013,DAYEUHLUHUR,33.01.16.2011,CILACAP,KAB. CILACAP,3301010,CILUMPING,3301,CILUMPING,33.01
33.01.16,DAYEUHLUHUR,3301010014,DAYEUHLUHUR,33.01.16.2012,CILACAP,KAB. CILACAP,3301010,SUMPINGHAYU,3301,SUMPINGHAYU,33.01
33.01.15,WANAREJA,3301020001,WANAREJA,33.01.15.2015,CILACAP,KAB. CILACAP,3301020,PURWASARI,3301,PURWASARI,33.01
33.01.15,WANAREJA,3301020002,WANAREJA,33.01.15.2014,CILACAP,KAB. CILACAP,3301020,CILONGKRANG,3301,CILONGKRANG,33.01
33.01.15,WANAREJA,3301020003,WANAREJA,33.01.15.2001,CILACAP,KAB. CILACAP,3301020,TARISI,3301,TARISI,33.01
33.01.15,WANAREJA,3301020004,WANAREJA,33.01.15.2002,CILACAP,KAB. CILACAP,3301020,BANTAR,3301,BANTAR,33.01
33.01.15,WANAREJA,3301020005,WANAREJA,33.01.15.2013,CILACAP,KAB. CILACAP,3301020,SIDAMULYA,3301,SIDAMULYA,33.01
33.01.15,WANAREJA,3301020006,WANAREJA,33.01.15.2012,CILACAP,KAB. CILACAP,3301020,ADIMULYA,3301,ADIMULYA,33.01
33.01.15,WANAREJA,3301020007,WANAREJA,33.01.15.2003,CILACAP,KAB. CILACAP,3301020,WANAREJA,3301,WANAREJA,33.01
33.01.15,WANAREJA,3301020008,WANAREJA,33.01.15.2007,CILACAP,KAB. CILACAP,3301020,MADURA,3301,MADURA,33.01
